"SurveyResponseID","AnswerNumber","AmenityType","EnvPracticeRating"
3338397,129,"Visitor transport","Don't know"
3338643,156,"Activity and attractions","Ahead of most other places"
3338417,180,"Activity and attractions","Ahead of most other places"
3338594,200,"Commercial accommodation","Ahead of most other places"
3339580,133,"Activity and attractions","Behind most other places"
3338889,188,"Commercial accommodation","Ahead of most other places"
3339564,126,"Visitor transport","Ahead of most other places"
3338594,203,"Public infrastructure","About average"
3338889,191,"Public infrastructure","Amongst the best in the world"
3339580,132,"Commercial accommodation","About average"
3338643,155,"Commercial accommodation","Behind most other places"
3338417,179,"Commercial accommodation","Ahead of most other places"
3338891,120,"Activity and attractions","Don't know"
3338594,204,"Overall environmental management","Ahead of most other places"
3339604,154,"Commercial accommodation","Ahead of most other places"
3338397,131,"Overall environmental management","Ahead of most other places"
3339580,136,"Overall environmental management","Behind most other places"
3338889,192,"Overall environmental management","Ahead of most other places"
3339568,144,"Overall environmental management","Don't know"
3339580,135,"Public infrastructure","Behind most other places"
3338647,154,"Commercial accommodation","About average"
3338891,121,"Visitor transport","Don't know"
3338893,159,"Commercial accommodation","Ahead of most other places"
3338647,155,"Activity and attractions","Ahead of most other places"
3339652,122,"Commercial accommodation","About average"
3338889,190,"Visitor transport","Ahead of most other places"
3338891,119,"Commercial accommodation","Ahead of most other places"
3339604,155,"Activity and attractions","Amongst the best in the world"
3339568,143,"Public infrastructure","About average"
3339580,134,"Visitor transport","Don't know"
3338417,181,"Visitor transport","Ahead of most other places"
3338893,160,"Activity and attractions","Amongst the best in the world"
3339652,123,"Activity and attractions","Ahead of most other places"
3339604,156,"Visitor transport","Don't know"
3338643,159,"Overall environmental management","Ahead of most other places"
3339604,157,"Public infrastructure","Ahead of most other places"
3338643,158,"Public infrastructure","Don't know"
3338895,171,"Activity and attractions","About average"
3338651,170,"Activity and attractions","About average"
3338429,151,"Activity and attractions","Ahead of most other places"
3339664,116,"Activity and attractions","Don't know"
3339652,124,"Visitor transport","Behind most other places"
3338647,158,"Overall environmental management","Don't know"
3338417,183,"Overall environmental management","Ahead of most other places"
3338895,172,"Visitor transport","Amongst the best in the world"
3338429,152,"Visitor transport","Ahead of most other places"
3338893,162,"Public infrastructure","Ahead of most other places"
3339652,125,"Public infrastructure","Ahead of most other places"
3338899,157,"Activity and attractions","Ahead of most other places"
3338891,123,"Overall environmental management","About average"
3338893,161,"Visitor transport","Ahead of most other places"
3338895,170,"Commercial accommodation","About average"
3338651,169,"Commercial accommodation","About average"
3338417,182,"Public infrastructure","Ahead of most other places"
3338647,157,"Public infrastructure","Amongst the best in the world"
3339652,126,"Overall environmental management","Amongst the best in the world"
3338895,173,"Public infrastructure","About average"
3338441,171,"Activity and attractions","About average"
3339664,117,"Visitor transport","Don't know"
3338643,157,"Visitor transport","Ahead of most other places"
3338891,122,"Public infrastructure","About average"
3339604,158,"Overall environmental management","Amongst the best in the world"
3338895,174,"Overall environmental management","Amongst the best in the world"
3338647,156,"Visitor transport","About average"
3338429,150,"Commercial accommodation","Ahead of most other places"
3339664,115,"Commercial accommodation","Don't know"
3338893,163,"Overall environmental management","Ahead of most other places"
3338899,156,"Commercial accommodation","Amongst the best in the world"
3339679,223,"Commercial accommodation","About average"
3339664,119,"Overall environmental management","Amongst the best in the world"
3338899,158,"Visitor transport","About average"
3338429,154,"Overall environmental management","Ahead of most other places"
3338441,172,"Visitor transport","Don't know"
3338651,172,"Public infrastructure","Amongst the best in the world"
3339697,149,"Activity and attractions","Don't know"
3339679,225,"Visitor transport","Amongst the worst in the world"
3338899,160,"Overall environmental management","Ahead of most other places"
3338441,170,"Commercial accommodation","About average"
3339679,224,"Activity and attractions","Behind most other places"
3338651,173,"Overall environmental management","Ahead of most other places"
3338445,131,"Commercial accommodation","About average"
3338429,153,"Public infrastructure","Ahead of most other places"
3339679,227,"Overall environmental management","Ahead of most other places"
3339664,118,"Public infrastructure","Don't know"
3338671,149,"Commercial accommodation","Behind most other places"
3338445,132,"Activity and attractions","Amongst the best in the world"
3338651,171,"Visitor transport","Behind most other places"
3338671,150,"Activity and attractions","Ahead of most other places"
3338899,159,"Public infrastructure","Ahead of most other places"
3338902,133,"Activity and attractions","Ahead of most other places"
3339679,226,"Public infrastructure","About average"
3338441,173,"Public infrastructure","Ahead of most other places"
3338671,151,"Visitor transport","About average"
3338675,136,"Commercial accommodation","About average"
3338445,134,"Public infrastructure","Ahead of most other places"
3338441,174,"Overall environmental management","Amongst the best in the world"
3338902,132,"Commercial accommodation","Ahead of most other places"
3339697,148,"Commercial accommodation","About average"
3338902,135,"Public infrastructure","Ahead of most other places"
3338671,152,"Public infrastructure","About average"
3339697,151,"Public infrastructure","Ahead of most other places"
3338445,133,"Visitor transport","Ahead of most other places"
3338920,157,"Commercial accommodation","Ahead of most other places"
3338449,158,"Commercial accommodation","About average"
3338902,134,"Visitor transport","Ahead of most other places"
3338675,137,"Activity and attractions","Amongst the best in the world"
3338445,135,"Overall environmental management","Ahead of most other places"
3338679,146,"Activity and attractions","Amongst the best in the world"
3338671,153,"Overall environmental management","Ahead of most other places"
3339705,153,"Activity and attractions","About average"
3338679,145,"Commercial accommodation","Ahead of most other places"
3339697,150,"Visitor transport","Don't know"
3338675,138,"Visitor transport","About average"
3338449,159,"Activity and attractions","Ahead of most other places"
3339713,135,"Activity and attractions","About average"
3338920,158,"Activity and attractions","About average"
3339705,152,"Commercial accommodation","About average"
3339713,134,"Commercial accommodation","About average"
3338675,140,"Overall environmental management","Ahead of most other places"
3338920,159,"Visitor transport","Don't know"
3339705,154,"Visitor transport","Amongst the best in the world"
3338928,157,"Commercial accommodation","About average"
3339697,152,"Overall environmental management","Amongst the best in the world"
3338449,161,"Public infrastructure","Amongst the best in the world"
3338453,160,"Visitor transport","About average"
3338675,139,"Public infrastructure","Ahead of most other places"
3338679,149,"Overall environmental management","Amongst the best in the world"
3338902,136,"Overall environmental management","Ahead of most other places"
3339725,144,"Overall environmental management","About average"
3339705,155,"Public infrastructure","Ahead of most other places"
3339725,141,"Activity and attractions","Ahead of most other places"
3339705,156,"Overall environmental management","Ahead of most other places"
3338920,161,"Overall environmental management","Amongst the best in the world"
3339713,138,"Overall environmental management","About average"
3339713,137,"Public infrastructure","About average"
3338679,147,"Visitor transport","About average"
3338453,158,"Commercial accommodation","About average"
3338928,159,"Visitor transport","Amongst the best in the world"
3338453,162,"Overall environmental management","About average"
3339725,142,"Visitor transport","Ahead of most other places"
3338449,162,"Overall environmental management","Ahead of most other places"
3338453,159,"Activity and attractions","Amongst the best in the world"
3338457,161,"Activity and attractions","Amongst the best in the world"
3338936,161,"Activity and attractions","Amongst the best in the world"
3338928,160,"Public infrastructure","Ahead of most other places"
3338453,161,"Public infrastructure","About average"
3338920,160,"Public infrastructure","About average"
3338457,160,"Commercial accommodation","Don't know"
3338449,160,"Visitor transport","Ahead of most other places"
3339713,136,"Visitor transport","About average"
3339725,140,"Commercial accommodation","About average"
3338928,161,"Overall environmental management","Ahead of most other places"
3338679,148,"Public infrastructure","Amongst the best in the world"
3339725,143,"Public infrastructure","Ahead of most other places"
3338928,158,"Activity and attractions","Don't know"
3339729,132,"Commercial accommodation","Ahead of most other places"
3338457,164,"Overall environmental management","About average"
3338936,164,"Overall environmental management","Ahead of most other places"
3338683,147,"Activity and attractions","About average"
3338683,146,"Commercial accommodation","Behind most other places"
3338984,148,"Visitor transport","About average"
3338936,160,"Commercial accommodation","Ahead of most other places"
3338469,152,"Activity and attractions","Ahead of most other places"
3338461,163,"Activity and attractions","About average"
3338461,162,"Commercial accommodation","Ahead of most other places"
3338457,162,"Visitor transport","About average"
3339729,133,"Activity and attractions","About average"
3338984,146,"Commercial accommodation","Ahead of most other places"
3339729,134,"Visitor transport","Amongst the best in the world"
3338984,147,"Activity and attractions","Amongst the best in the world"
3338461,166,"Overall environmental management","About average"
3338936,163,"Public infrastructure","Ahead of most other places"
3338988,193,"Commercial accommodation","Don't know"
3338461,164,"Visitor transport","About average"
3339737,147,"Activity and attractions","Ahead of most other places"
3338699,152,"Commercial accommodation","About average"
3338457,163,"Public infrastructure","Amongst the best in the world"
3339729,136,"Overall environmental management","Amongst the best in the world"
3338984,149,"Public infrastructure","Amongst the best in the world"
3338988,195,"Visitor transport","About average"
3338683,149,"Public infrastructure","Behind most other places"
3338988,196,"Public infrastructure","Amongst the best in the world"
3339737,146,"Commercial accommodation","Don't know"
3339729,135,"Public infrastructure","About average"
3338703,162,"Commercial accommodation","Ahead of most other places"
3338683,150,"Overall environmental management","About average"
3339741,136,"Commercial accommodation","Don't know"
3338699,156,"Overall environmental management","Ahead of most other places"
3338699,153,"Activity and attractions","Ahead of most other places"
3338936,162,"Visitor transport","Ahead of most other places"
3338461,165,"Public infrastructure","About average"
3338469,153,"Visitor transport","About average"
3338469,151,"Commercial accommodation","Ahead of most other places"
3339008,150,"Commercial accommodation","Ahead of most other places"
3338699,154,"Visitor transport","Don't know"
3338988,194,"Activity and attractions","Don't know"
3338703,163,"Activity and attractions","About average"
3338683,148,"Visitor transport","Behind most other places"
3339008,151,"Activity and attractions","Don't know"
3338715,156,"Commercial accommodation","About average"
3339745,163,"Activity and attractions","Ahead of most other places"
3339741,137,"Activity and attractions","About average"
3338984,150,"Overall environmental management","Amongst the best in the world"
3338699,155,"Public infrastructure","Ahead of most other places"
3339737,148,"Visitor transport","About average"
3338715,157,"Activity and attractions","About average"
3338703,164,"Visitor transport","About average"
3339745,162,"Commercial accommodation","Don't know"
3339737,149,"Public infrastructure","Don't know"
3339741,138,"Visitor transport","Ahead of most other places"
3338703,165,"Public infrastructure","Don't know"
3339741,139,"Public infrastructure","Ahead of most other places"
3338988,197,"Overall environmental management","Amongst the best in the world"
3339016,161,"Activity and attractions","Amongst the best in the world"
3339757,149,"Activity and attractions","About average"
3338715,158,"Visitor transport","Ahead of most other places"
3339008,153,"Public infrastructure","Behind most other places"
3338469,154,"Public infrastructure","Ahead of most other places"
3339745,164,"Visitor transport","Don't know"
3338715,160,"Overall environmental management","Ahead of most other places"
3338473,155,"Visitor transport","Ahead of most other places"
3338473,153,"Commercial accommodation","Ahead of most other places"
3339016,160,"Commercial accommodation","Behind most other places"
3338731,139,"Commercial accommodation","Don't know"
3339745,166,"Overall environmental management","Amongst the best in the world"
3339737,150,"Overall environmental management","Ahead of most other places"
3339765,151,"Commercial accommodation","Behind most other places"
3338703,166,"Overall environmental management","Amongst the best in the world"
3339741,140,"Overall environmental management","Ahead of most other places"
3339008,152,"Visitor transport","Ahead of most other places"
3339020,162,"Commercial accommodation","Ahead of most other places"
3339745,165,"Public infrastructure","About average"
3339765,152,"Activity and attractions","Ahead of most other places"
3339020,163,"Activity and attractions","Ahead of most other places"
3339757,152,"Overall environmental management","Amongst the best in the world"
3339757,150,"Visitor transport","Ahead of most other places"
3339016,163,"Public infrastructure","About average"
3338731,141,"Visitor transport","Don't know"
3338473,154,"Activity and attractions","About average"
3338731,142,"Public infrastructure","Don't know"
3339757,148,"Commercial accommodation","About average"
3339016,164,"Overall environmental management","Ahead of most other places"
3338731,140,"Activity and attractions","Don't know"
3339769,158,"Activity and attractions","Ahead of most other places"
3338473,156,"Public infrastructure","Ahead of most other places"
3338715,159,"Public infrastructure","Behind most other places"
3339032,150,"Activity and attractions","Behind most other places"
3338747,151,"Activity and attractions","Ahead of most other places"
3339769,157,"Commercial accommodation","About average"
3338469,155,"Overall environmental management","Amongst the best in the world"
3339008,154,"Overall environmental management","About average"
3339016,162,"Visitor transport","Don't know"
3339757,151,"Public infrastructure","About average"
3339765,153,"Visitor transport","Ahead of most other places"
3339032,149,"Commercial accommodation","Ahead of most other places"
3338731,143,"Overall environmental management","Don't know"
3338747,150,"Commercial accommodation","Amongst the best in the world"
3339020,164,"Visitor transport","Amongst the best in the world"
3339765,154,"Public infrastructure","Ahead of most other places"
3338751,146,"Activity and attractions","About average"
3339020,165,"Public infrastructure","Ahead of most other places"
3339777,118,"Activity and attractions","Ahead of most other places"
3339036,133,"Activity and attractions","Ahead of most other places"
3338481,139,"Commercial accommodation","Amongst the best in the world"
3338747,152,"Visitor transport","Ahead of most other places"
3338751,145,"Commercial accommodation","Behind most other places"
3339769,161,"Overall environmental management","Amongst the best in the world"
3339032,153,"Overall environmental management","Ahead of most other places"
3339036,132,"Commercial accommodation","Ahead of most other places"
3339032,152,"Public infrastructure","Amongst the best in the world"
3339765,155,"Overall environmental management","Ahead of most other places"
3339020,166,"Overall environmental management","Ahead of most other places"
3339040,144,"Activity and attractions","About average"
3339769,160,"Public infrastructure","Ahead of most other places"
3339777,117,"Commercial accommodation","Ahead of most other places"
3339032,151,"Visitor transport","Ahead of most other places"
3338747,154,"Overall environmental management","Amongst the best in the world"
3338481,141,"Visitor transport","Behind most other places"
3339036,134,"Visitor transport","Ahead of most other places"
3339769,159,"Visitor transport","Behind most other places"
3338751,147,"Visitor transport","About average"
3339036,135,"Public infrastructure","About average"
3339777,120,"Public infrastructure","Ahead of most other places"
3338501,117,"Activity and attractions","Ahead of most other places"
3338481,140,"Activity and attractions","Don't know"
3339789,144,"Activity and attractions","Behind most other places"
3338473,157,"Overall environmental management","Ahead of most other places"
3338747,153,"Public infrastructure","Ahead of most other places"
3338755,148,"Activity and attractions","Ahead of most other places"
3339777,119,"Visitor transport","About average"
3339036,136,"Overall environmental management","Ahead of most other places"
3338751,149,"Overall environmental management","Amongst the best in the world"
3338481,143,"Overall environmental management","Ahead of most other places"
3339044,166,"Activity and attractions","Ahead of most other places"
3339040,143,"Commercial accommodation","Ahead of most other places"
3339044,165,"Commercial accommodation","About average"
3339793,130,"Commercial accommodation","Ahead of most other places"
3339040,146,"Public infrastructure","Don't know"
3338751,148,"Public infrastructure","Ahead of most other places"
3339777,121,"Overall environmental management","Ahead of most other places"
3338481,142,"Public infrastructure","Amongst the best in the world"
3339793,131,"Activity and attractions","Amongst the best in the world"
3338755,147,"Commercial accommodation","About average"
3338501,116,"Commercial accommodation","About average"
3338759,137,"Public infrastructure","Ahead of most other places"
3339044,167,"Visitor transport","Amongst the best in the world"
3339048,205,"Commercial accommodation","About average"
3338759,134,"Commercial accommodation","Don't know"
3339040,145,"Visitor transport","Don't know"
3339789,145,"Visitor transport","About average"
3338755,150,"Public infrastructure","Amongst the best in the world"
3338755,151,"Overall environmental management","Ahead of most other places"
3339789,147,"Overall environmental management","Ahead of most other places"
3338759,138,"Overall environmental management","Amongst the best in the world"
3338763,150,"Commercial accommodation","About average"
3338759,136,"Visitor transport","Amongst the best in the world"
3338501,120,"Overall environmental management","About average"
3338501,118,"Visitor transport","About average"
3338763,153,"Public infrastructure","Ahead of most other places"
3339044,168,"Public infrastructure","Ahead of most other places"
3338513,137,"Activity and attractions","About average"
3339793,133,"Public infrastructure","About average"
3338513,136,"Commercial accommodation","About average"
3339797,143,"Commercial accommodation","About average"
3338501,119,"Public infrastructure","About average"
3338763,152,"Visitor transport","Don't know"
3339793,134,"Overall environmental management","Ahead of most other places"
3338767,164,"Activity and attractions","Ahead of most other places"
3339052,159,"Commercial accommodation","Ahead of most other places"
3339797,146,"Public infrastructure","Ahead of most other places"
3339048,208,"Public infrastructure","Ahead of most other places"
3338513,139,"Public infrastructure","About average"
3339797,144,"Activity and attractions","Don't know"
3339801,133,"Activity and attractions","Don't know"
3339048,207,"Visitor transport","About average"
3339797,147,"Overall environmental management","Ahead of most other places"
3339789,143,"Commercial accommodation","About average"
3338759,135,"Activity and attractions","Amongst the best in the world"
3338755,149,"Visitor transport","Ahead of most other places"
3339040,147,"Overall environmental management","Ahead of most other places"
3339789,146,"Public infrastructure","Ahead of most other places"
3338763,151,"Activity and attractions","Don't know"
3339048,206,"Activity and attractions","Ahead of most other places"
3339052,160,"Activity and attractions","Ahead of most other places"
3339801,132,"Commercial accommodation","Ahead of most other places"
3338767,163,"Commercial accommodation","Ahead of most other places"
3339797,145,"Visitor transport","Amongst the best in the world"
3339048,209,"Overall environmental management","Amongst the best in the world"
3338513,138,"Visitor transport","About average"
3339056,137,"Commercial accommodation","Ahead of most other places"
3339052,162,"Public infrastructure","Ahead of most other places"
3339801,136,"Overall environmental management","Ahead of most other places"
3338517,151,"Visitor transport","About average"
3339056,139,"Visitor transport","About average"
3339793,132,"Visitor transport","Ahead of most other places"
3339044,169,"Overall environmental management","Ahead of most other places"
3338763,154,"Overall environmental management","Ahead of most other places"
3339805,146,"Commercial accommodation","Ahead of most other places"
3339052,161,"Visitor transport","Don't know"
3339801,134,"Visitor transport","Amongst the best in the world"
3338517,153,"Overall environmental management","Ahead of most other places"
3339056,141,"Overall environmental management","Ahead of most other places"
3339805,148,"Visitor transport","Don't know"
3339801,135,"Public infrastructure","Behind most other places"
3339052,163,"Overall environmental management","Ahead of most other places"
3339056,140,"Public infrastructure","Ahead of most other places"
3338517,150,"Activity and attractions","About average"
3339805,147,"Activity and attractions","Don't know"
3338521,130,"Activity and attractions","About average"
3339813,149,"Commercial accommodation","Ahead of most other places"
3338525,162,"Commercial accommodation","Don't know"
3339805,150,"Overall environmental management","Don't know"
3339060,162,"Commercial accommodation","Ahead of most other places"
3338517,149,"Commercial accommodation","About average"
3338513,140,"Overall environmental management","About average"
3338767,165,"Visitor transport","About average"
3338517,152,"Public infrastructure","Don't know"
3339056,138,"Activity and attractions","About average"
3339813,150,"Activity and attractions","Ahead of most other places"
3338521,129,"Commercial accommodation","About average"
3338525,163,"Activity and attractions","About average"
3338521,132,"Public infrastructure","About average"
3339821,158,"Visitor transport","Ahead of most other places"
3338521,131,"Visitor transport","Don't know"
3339813,153,"Overall environmental management","Don't know"
3339060,164,"Visitor transport","About average"
3338529,153,"Commercial accommodation","About average"
3339813,152,"Public infrastructure","Ahead of most other places"
3339060,165,"Public infrastructure","Don't know"
3338525,165,"Public infrastructure","About average"
3338541,181,"Commercial accommodation","About average"
3339821,157,"Activity and attractions","Don't know"
3339064,157,"Commercial accommodation","Amongst the best in the world"
3339064,158,"Activity and attractions","Amongst the best in the world"
3338771,157,"Commercial accommodation","About average"
3461417,136,"Commercial accommodation","About average"
3339805,149,"Public infrastructure","About average"
3339060,163,"Activity and attractions","Amongst the best in the world"
3338525,166,"Overall environmental management","Behind most other places"
3339821,156,"Commercial accommodation","Ahead of most other places"
3338541,182,"Activity and attractions","About average"
3338771,158,"Activity and attractions","About average"
3338767,166,"Public infrastructure","Ahead of most other places"
3461417,137,"Activity and attractions","Ahead of most other places"
3338521,133,"Overall environmental management","About average"
3339813,151,"Visitor transport","Amongst the best in the world"
3338525,164,"Visitor transport","About average"
3339060,166,"Overall environmental management","Ahead of most other places"
3338529,154,"Activity and attractions","Ahead of most other places"
3339821,159,"Public infrastructure","Don't know"
3338767,167,"Overall environmental management","Ahead of most other places"
3338529,155,"Visitor transport","About average"
3338529,156,"Public infrastructure","Ahead of most other places"
3339064,159,"Visitor transport","Don't know"
3339064,160,"Public infrastructure","Don't know"
3338529,157,"Overall environmental management","Ahead of most other places"
3338541,183,"Visitor transport","About average"
3339072,147,"Visitor transport","About average"
3461417,140,"Overall environmental management","About average"
3338541,185,"Overall environmental management","About average"
3338771,161,"Overall environmental management","Ahead of most other places"
3461421,143,"Commercial accommodation","Amongst the best in the world"
3461417,139,"Public infrastructure","About average"
3338771,160,"Public infrastructure","Amongst the best in the world"
3338565,232,"Activity and attractions","About average"
3339072,146,"Activity and attractions","Ahead of most other places"
3338565,235,"Overall environmental management","About average"
3338565,233,"Visitor transport","About average"
3339821,160,"Overall environmental management","Ahead of most other places"
3461421,146,"Public infrastructure","Amongst the best in the world"
3461421,145,"Visitor transport","About average"
3338569,162,"Visitor transport","Behind most other places"
3338569,161,"Activity and attractions","About average"
3339072,145,"Commercial accommodation","Ahead of most other places"
3461417,138,"Visitor transport","Don't know"
3338811,157,"Activity and attractions","Ahead of most other places"
3338541,184,"Public infrastructure","About average"
3338573,193,"Activity and attractions","Ahead of most other places"
3338771,159,"Visitor transport","About average"
3339064,161,"Overall environmental management","Behind most other places"
3338565,234,"Public infrastructure","About average"
3461421,144,"Activity and attractions","Ahead of most other places"
3338565,231,"Commercial accommodation","About average"
3461425,162,"Activity and attractions","Amongst the best in the world"
3339076,136,"Activity and attractions","Behind most other places"
3338569,163,"Public infrastructure","About average"
3461421,147,"Overall environmental management","Ahead of most other places"
3339072,148,"Public infrastructure","Ahead of most other places"
3339076,138,"Public infrastructure","Amongst the best in the world"
3338573,196,"Overall environmental management","Ahead of most other places"
3338811,160,"Overall environmental management","Ahead of most other places"
3338569,164,"Overall environmental management","About average"
3461425,164,"Public infrastructure","About average"
3338607,199,"Overall environmental management","Amongst the best in the world"
3338607,196,"Activity and attractions","Don't know"
3338573,194,"Visitor transport","About average"
3338815,159,"Public infrastructure","About average"
3338811,158,"Visitor transport","Ahead of most other places"
3338611,163,"Visitor transport","Amongst the best in the world"
3339076,139,"Overall environmental management","Amongst the best in the world"
3339080,153,"Visitor transport","Ahead of most other places"
3338607,197,"Visitor transport","Ahead of most other places"
3461425,161,"Commercial accommodation","Ahead of most other places"
3338827,205,"Activity and attractions","Ahead of most other places"
3339076,137,"Visitor transport","Ahead of most other places"
3461425,165,"Overall environmental management","About average"
3339072,149,"Overall environmental management","Ahead of most other places"
3339080,152,"Activity and attractions","About average"
3338815,157,"Activity and attractions","Ahead of most other places"
3338815,160,"Overall environmental management","Amongst the best in the world"
3338611,164,"Public infrastructure","Amongst the best in the world"
3338569,160,"Commercial accommodation","About average"
3338633,156,"Activity and attractions","Ahead of most other places"
3461425,163,"Visitor transport","Ahead of most other places"
3338573,195,"Public infrastructure","Ahead of most other places"
3338811,159,"Public infrastructure","Ahead of most other places"
3338607,198,"Public infrastructure","Amongst the best in the world"
3338815,158,"Visitor transport","Ahead of most other places"
3338611,162,"Activity and attractions","Amongst the best in the world"
3338611,165,"Overall environmental management","Amongst the best in the world"
3339080,154,"Public infrastructure","Ahead of most other places"
3338811,156,"Commercial accommodation","Ahead of most other places"
3338573,192,"Commercial accommodation","About average"
3339076,135,"Commercial accommodation","Don't know"
3338633,158,"Public infrastructure","Ahead of most other places"
3338633,159,"Overall environmental management","About average"
3338607,195,"Commercial accommodation","Ahead of most other places"
3338827,207,"Public infrastructure","About average"
3338827,204,"Commercial accommodation","About average"
3338657,147,"Commercial accommodation","About average"
3338877,127,"Commercial accommodation","About average"
3338827,208,"Overall environmental management","About average"
3339080,155,"Overall environmental management","Amongst the best in the world"
3338827,206,"Visitor transport","Behind most other places"
3338847,208,"Commercial accommodation","About average"
3338815,156,"Commercial accommodation","Ahead of most other places"
3461429,151,"Commercial accommodation","About average"
3338633,157,"Visitor transport","About average"
3338633,155,"Commercial accommodation","About average"
3338657,148,"Activity and attractions","Amongst the best in the world"
3339080,151,"Commercial accommodation","Amongst the worst in the world"
3338611,161,"Commercial accommodation","Amongst the best in the world"
3338847,210,"Visitor transport","About average"
3338847,209,"Activity and attractions","About average"
3339084,171,"Activity and attractions","About average"
3461429,152,"Activity and attractions","Ahead of most other places"
3338657,150,"Public infrastructure","Ahead of most other places"
3338665,147,"Commercial accommodation","Ahead of most other places"
3338665,148,"Activity and attractions","Ahead of most other places"
3461429,153,"Visitor transport","About average"
3461433,176,"Commercial accommodation","Don't know"
3338669,165,"Commercial accommodation","Ahead of most other places"
3461429,154,"Public infrastructure","Ahead of most other places"
3338665,150,"Public infrastructure","Ahead of most other places"
3339084,172,"Visitor transport","Amongst the best in the world"
3339084,174,"Overall environmental management","Don't know"
3461433,178,"Visitor transport","Don't know"
3338669,167,"Visitor transport","Don't know"
3338877,130,"Public infrastructure","Ahead of most other places"
3338877,128,"Activity and attractions","Ahead of most other places"
3338847,211,"Public infrastructure","About average"
3338657,151,"Overall environmental management","Amongst the best in the world"
3338665,149,"Visitor transport","Don't know"
3339084,170,"Commercial accommodation","Don't know"
3338657,149,"Visitor transport","Don't know"
3338669,168,"Public infrastructure","About average"
3461433,177,"Activity and attractions","Don't know"
3338847,212,"Overall environmental management","About average"
3461433,179,"Public infrastructure","Don't know"
3461429,155,"Overall environmental management","Ahead of most other places"
3339088,151,"Commercial accommodation","Ahead of most other places"
3338665,151,"Overall environmental management","Amongst the best in the world"
3461437,158,"Commercial accommodation","Amongst the best in the world"
3338677,141,"Commercial accommodation","Amongst the best in the world"
3338877,131,"Overall environmental management","Ahead of most other places"
3339088,154,"Public infrastructure","Ahead of most other places"
3338879,128,"Visitor transport","Ahead of most other places"
3338677,143,"Visitor transport","Don't know"
3339088,155,"Overall environmental management","Ahead of most other places"
3338677,144,"Public infrastructure","Don't know"
3338877,129,"Visitor transport","Don't know"
3339096,147,"Visitor transport","Ahead of most other places"
3339084,173,"Public infrastructure","Amongst the best in the world"
3338879,126,"Commercial accommodation","Ahead of most other places"
3338669,169,"Overall environmental management","Ahead of most other places"
3461433,180,"Overall environmental management","Don't know"
3339088,153,"Visitor transport","Don't know"
3461437,160,"Visitor transport","Ahead of most other places"
3338677,145,"Overall environmental management","Don't know"
3338669,166,"Activity and attractions","Ahead of most other places"
3339096,148,"Public infrastructure","Behind most other places"
3461437,159,"Activity and attractions","Amongst the best in the world"
3339096,146,"Activity and attractions","Amongst the best in the world"
3338681,157,"Visitor transport","About average"
3339096,149,"Overall environmental management","Ahead of most other places"
3338879,127,"Activity and attractions","Ahead of most other places"
3339108,163,"Visitor transport","Ahead of most other places"
3338685,207,"Public infrastructure","Ahead of most other places"
3338681,156,"Activity and attractions","Amongst the best in the world"
3338677,142,"Activity and attractions","About average"
3338881,141,"Public infrastructure","Don't know"
3338689,216,"Overall environmental management","Ahead of most other places"
3338689,213,"Activity and attractions","Ahead of most other places"
3338681,159,"Overall environmental management","About average"
3339112,133,"Activity and attractions","Behind most other places"
3338879,129,"Public infrastructure","Ahead of most other places"
3461441,146,"Public infrastructure","Amongst the best in the world"
3461437,162,"Overall environmental management","Don't know"
3338685,205,"Activity and attractions","About average"
3339108,162,"Activity and attractions","Behind most other places"
3338881,140,"Visitor transport","Ahead of most other places"
3339088,152,"Activity and attractions","Amongst the best in the world"
3339108,164,"Public infrastructure","Amongst the best in the world"
3339108,165,"Overall environmental management","Ahead of most other places"
3461441,145,"Visitor transport","About average"
3338685,208,"Overall environmental management","Ahead of most other places"
3461437,161,"Public infrastructure","About average"
3338689,215,"Public infrastructure","Ahead of most other places"
3338881,139,"Activity and attractions","About average"
3338879,130,"Overall environmental management","Ahead of most other places"
3339112,134,"Visitor transport","Ahead of most other places"
3338909,154,"Activity and attractions","Amongst the best in the world"
3338681,158,"Public infrastructure","Ahead of most other places"
3338685,206,"Visitor transport","Don't know"
3338881,142,"Overall environmental management","Ahead of most other places"
3461441,144,"Activity and attractions","Ahead of most other places"
3461441,147,"Overall environmental management","Ahead of most other places"
3338705,154,"Activity and attractions","Amongst the best in the world"
3339112,135,"Public infrastructure","Don't know"
3338681,155,"Commercial accommodation","Ahead of most other places"
3338705,157,"Overall environmental management","Amongst the best in the world"
3338909,157,"Overall environmental management","Ahead of most other places"
3338909,156,"Public infrastructure","Behind most other places"
3338689,214,"Visitor transport","Don't know"
3339096,145,"Commercial accommodation","About average"
3339112,136,"Overall environmental management","Ahead of most other places"
3338705,156,"Public infrastructure","Ahead of most other places"
3338909,155,"Visitor transport","About average"
3338881,138,"Commercial accommodation","About average"
3461441,143,"Commercial accommodation","Amongst the best in the world"
3339112,132,"Commercial accommodation","Don't know"
3338705,153,"Commercial accommodation","About average"
3339108,161,"Commercial accommodation","Ahead of most other places"
3338911,175,"Activity and attractions","About average"
3461445,159,"Public infrastructure","Ahead of most other places"
3338911,178,"Overall environmental management","Ahead of most other places"
3461449,155,"Public infrastructure","Amongst the best in the world"
3338713,165,"Visitor transport","Ahead of most other places"
3338909,153,"Commercial accommodation","Ahead of most other places"
