"SurveyResponseID","AnswerNumber","TravelledWith"
3464244,41,"Other person(s)"
3464246,39,"My husband, wife or partner"
3464249,55,"My husband, wife or partner"
3464251,38,"Child/children aged 15 or older"
3464252,38,"Child/children aged under 15"
3464253,40,"My husband, wife or partner"
3464254,45,"Other family / relative(s)"
3464255,42,"My husband, wife or partner"
3464256,42,"My husband, wife or partner"
3464258,47,"My husband, wife or partner"
3464258,48,"Child/children aged 15 or older"
3464259,45,"My husband, wife or partner"
3464260,43,"Child/children aged 15 or older"
3464261,53,"My husband, wife or partner"
3464262,45,"My husband, wife or partner"
3464263,38,"Other family / relative(s)"
3464264,37,"Other person(s)"
3464266,41,"My husband, wife or partner"
3464268,52,"Other family / relative(s)"
3464269,39,"My husband, wife or partner"
3464271,40,"Child/children aged under 15"
3464271,41,"Other family / relative(s)"
3464272,44,"My husband, wife or partner"
3464273,40,"My husband, wife or partner"
3464274,49,"Other family / relative(s)"
3464275,41,"My husband, wife or partner"
3464276,39,"My husband, wife or partner"
3464276,40,"Child/children aged under 15"
3464277,44,"My husband, wife or partner"
3464279,52,"My husband, wife or partner"
3464280,39,"My husband, wife or partner"
3464282,37,"My husband, wife or partner"
3464283,37,"My husband, wife or partner"
3464286,46,"My husband, wife or partner"
3464288,49,"Other person(s)"
3464290,41,"My husband, wife or partner"
3464291,38,"My husband, wife or partner"
3464292,46,"My husband, wife or partner"
3464293,50,"Other person(s)"
3464296,39,"Other family / relative(s)"
3464297,37,"Other family / relative(s)"
3464299,45,"My husband, wife or partner"
3464300,49,"My husband, wife or partner"
3464301,37,"Other family / relative(s)"
3464303,41,"Other person(s)"
3464305,47,"My husband, wife or partner"
3464307,49,"My husband, wife or partner"
3464308,39,"Other family / relative(s)"
3464309,38,"My husband, wife or partner"
3464310,42,"My husband, wife or partner"
3464310,43,"Child/children aged under 15"
3464310,44,"Other family / relative(s)"
3464311,39,"Other person(s)"
3464312,48,"My husband, wife or partner"
3464315,41,"Other person(s)"
3464316,57,"My husband, wife or partner"
3464319,49,"Child/children aged 15 or older"
3464321,39,"Other person(s)"
3464322,58,"Other person(s)"
3464323,51,"My husband, wife or partner"
3464324,58,"My husband, wife or partner"
3464325,39,"My husband, wife or partner"
3464325,40,"Child/children aged 15 or older"
3464329,60,"My husband, wife or partner"
3464330,42,"Other person(s)"
3464331,38,"My husband, wife or partner"
3464332,38,"Other person(s)"
3464333,40,"My husband, wife or partner"
3464335,44,"My husband, wife or partner"
3464335,45,"Child/children aged under 15"
3464336,39,"My husband, wife or partner"
3464337,37,"My husband, wife or partner"
3464338,44,"My husband, wife or partner"
3464339,44,"Other family / relative(s)"
3464340,44,"My husband, wife or partner"
3464341,49,"My husband, wife or partner"
3464341,50,"Child/children aged 15 or older"
3464343,48,"Other person(s)"
3464344,39,"My husband, wife or partner"
3464346,38,"My husband, wife or partner"
3464349,42,"My husband, wife or partner"
3464351,39,"My husband, wife or partner"
3464353,48,"My husband, wife or partner"
3464356,37,"My husband, wife or partner"
3464357,38,"Other family / relative(s)"
3464358,38,"My husband, wife or partner"
3464360,45,"Other family / relative(s)"
3464361,48,"My husband, wife or partner"
3464362,43,"My husband, wife or partner"
3464363,37,"My husband, wife or partner"
3464364,36,"My husband, wife or partner"
3464365,40,"My husband, wife or partner"
3464366,38,"My husband, wife or partner"
3464367,39,"My husband, wife or partner"
3464368,37,"My husband, wife or partner"
3464369,40,"Other person(s)"
3464370,44,"My husband, wife or partner"
3464373,37,"My husband, wife or partner"
3464374,39,"My husband, wife or partner"
3464375,59,"Other person(s)"
3464376,59,"Other person(s)"
3464377,46,"Other person(s)"
3464379,37,"My husband, wife or partner"
3464380,37,"Other family / relative(s)"
3464381,37,"Other family / relative(s)"
3464383,37,"My husband, wife or partner"
3464384,38,"My husband, wife or partner"
3464385,37,"My husband, wife or partner"
3464387,37,"Other person(s)"
3464388,37,"Other family / relative(s)"
3464390,37,"Other person(s)"
3464392,37,"My husband, wife or partner"
3464392,38,"Child/children aged under 15"
3464393,37,"My husband, wife or partner"
3464393,38,"Other family / relative(s)"
3464395,39,"My husband, wife or partner"
3464395,40,"Child/children aged under 15"
3464397,37,"My husband, wife or partner"
3464398,37,"Other person(s)"
3464399,37,"My husband, wife or partner"
3464400,37,"Other person(s)"
3464401,37,"Other family / relative(s)"
3464402,37,"My husband, wife or partner"
3464403,37,"Other family / relative(s)"
3464404,37,"My husband, wife or partner"
3464405,37,"My husband, wife or partner"
3464407,37,"My husband, wife or partner"
3464408,37,"Other person(s)"
3464409,37,"Other person(s)"
3464411,37,"Other person(s)"
3464412,37,"Other family / relative(s)"
3464413,37,"Other person(s)"
3464414,37,"Other family / relative(s)"
3464415,37,"My husband, wife or partner"
3464416,37,"Other family / relative(s)"
3464417,37,"My husband, wife or partner"
3464418,37,"My husband, wife or partner"
3464419,37,"My husband, wife or partner"
3464420,37,"My husband, wife or partner"
3464421,37,"Other person(s)"
3464422,37,"Other person(s)"
3464424,37,"Other person(s)"
3464425,37,"Other family / relative(s)"
3464426,37,"Other person(s)"
3464427,37,"My husband, wife or partner"
3464428,41,"My husband, wife or partner"
3464429,37,"My husband, wife or partner"
3464429,38,"Child/children aged under 15"
3464429,39,"Other family / relative(s)"
3464431,37,"My husband, wife or partner"
3464433,37,"Other person(s)"
3464434,37,"Other person(s)"
3464435,37,"My husband, wife or partner"
3464436,37,"My husband, wife or partner"
3464437,37,"Other person(s)"
3464438,37,"My husband, wife or partner"
3464439,44,"My husband, wife or partner"
3464439,45,"Child/children aged 15 or older"
3464439,46,"Other family / relative(s)"
3464440,37,"My husband, wife or partner"
3464440,38,"Child/children aged under 15"
3464440,39,"Other family / relative(s)"
3464441,37,"Other family / relative(s)"
3464442,37,"Other person(s)"
3464443,37,"Other person(s)"
3464444,37,"Child/children aged 15 or older"
3464445,37,"My husband, wife or partner"
3464445,38,"Child/children aged under 15"
3464445,39,"Other person(s)"
3464446,37,"My husband, wife or partner"
3464447,37,"Other family / relative(s)"
3464448,37,"Other person(s)"
3464449,37,"My husband, wife or partner"
3464449,38,"Child/children aged under 15"
3464449,39,"Other person(s)"
3464450,43,"My husband, wife or partner"
3464450,44,"Child/children aged under 15"
3464451,37,"My husband, wife or partner"
3464451,38,"Child/children aged under 15"
3464452,37,"Other person(s)"
3464453,37,"Other person(s)"
3464455,37,"My husband, wife or partner"
3464456,37,"Other family / relative(s)"
3464458,37,"My husband, wife or partner"
3464459,37,"My husband, wife or partner"
3464460,37,"My husband, wife or partner"
3464461,42,"My husband, wife or partner"
3464462,43,"Other family / relative(s)"
3464463,37,"My husband, wife or partner"
3464463,38,"Child/children aged under 15"
3464464,37,"Other person(s)"
3464465,37,"My husband, wife or partner"
3464466,37,"My husband, wife or partner"
3464467,37,"My husband, wife or partner"
3464468,37,"My husband, wife or partner"
3464468,38,"Other person(s)"
3464469,37,"Other person(s)"
3464470,37,"My husband, wife or partner"
3464471,37,"My husband, wife or partner"
3464472,37,"My husband, wife or partner"
3464473,40,"My husband, wife or partner"
3464474,37,"Other person(s)"
3464476,37,"My husband, wife or partner"
3464476,38,"Other person(s)"
3464477,37,"Other family / relative(s)"
3464478,37,"Other family / relative(s)"
3464479,36,"My husband, wife or partner"
3464479,37,"Child/children aged under 15"
3464479,38,"Other family / relative(s)"
3464480,36,"My husband, wife or partner"
3464481,36,"My husband, wife or partner"
3464482,36,"Other person(s)"
3464483,36,"Child/children aged under 15"
3464484,39,"My husband, wife or partner"
3464484,40,"Child/children aged 15 or older"
3464486,36,"My husband, wife or partner"
3464487,36,"My husband, wife or partner"
3464488,36,"Other person(s)"
3464489,37,"My husband, wife or partner"
3464489,38,"Child/children aged under 15"
3464491,37,"My husband, wife or partner"
3464492,37,"Other person(s)"
3464495,41,"My husband, wife or partner"
3464495,42,"Child/children aged under 15"
3464496,37,"My husband, wife or partner"
3464497,37,"My husband, wife or partner"
3464497,38,"Other family / relative(s)"
3464499,37,"Other person(s)"
3464502,37,"Other person(s)"
3464504,37,"My husband, wife or partner"
3464506,54,"My husband, wife or partner"
3464507,37,"Other person(s)"
3464508,37,"My husband, wife or partner"
3464508,38,"Child/children aged 15 or older"
3464510,37,"Other person(s)"
3464512,37,"Other person(s)"
3464514,37,"Other person(s)"
3464524,37,"Other person(s)"
3464525,37,"My husband, wife or partner"
3464526,37,"Other person(s)"
3464527,37,"Other person(s)"
3464528,49,"My husband, wife or partner"
3464528,50,"Child/children aged 15 or older"
3464528,51,"Other person(s)"
3464529,37,"My husband, wife or partner"
3464529,38,"Child/children aged 15 or older"
3464530,37,"My husband, wife or partner"
3464530,38,"Other family / relative(s)"
3464531,37,"Other person(s)"
3464533,37,"Other person(s)"
3464535,37,"My husband, wife or partner"
3464536,37,"Other person(s)"
3464537,37,"Other person(s)"
3464538,37,"My husband, wife or partner"
3464539,48,"Other person(s)"
3464542,37,"My husband, wife or partner"
3464543,37,"My husband, wife or partner"
3464545,37,"My husband, wife or partner"
3464546,37,"My husband, wife or partner"
3464549,37,"My husband, wife or partner"
3464550,42,"My husband, wife or partner"
3464551,37,"Other person(s)"
3464553,37,"Other family / relative(s)"
3464554,37,"Other person(s)"
3464556,37,"Other family / relative(s)"
3464558,37,"My husband, wife or partner"
3464559,37,"My husband, wife or partner"
3464561,44,"Other person(s)"
3464564,37,"My husband, wife or partner"
3464565,37,"Other family / relative(s)"
3464566,37,"My husband, wife or partner"
3464568,37,"Other person(s)"
3464569,37,"Other family / relative(s)"
3464570,37,"My husband, wife or partner"
3464571,37,"My husband, wife or partner"
3464572,43,"My husband, wife or partner"
3464573,38,"My husband, wife or partner"
3464575,37,"Other person(s)"
3464576,37,"My husband, wife or partner"
3464579,36,"My husband, wife or partner"
3464581,36,"My husband, wife or partner"
3464582,36,"My husband, wife or partner"
3464584,43,"Other family / relative(s)"
3464585,36,"Other person(s)"
3464588,36,"My husband, wife or partner"
3464589,36,"My husband, wife or partner"
3464592,37,"Other person(s)"
3464593,37,"Other person(s)"
3464594,37,"My husband, wife or partner"
3464595,41,"Other person(s)"
3464596,37,"Other person(s)"
3464597,36,"Other family / relative(s)"
3464598,36,"Other person(s)"
3464599,36,"My husband, wife or partner"
3464600,36,"Other family / relative(s)"
3464601,36,"My husband, wife or partner"
3464601,37,"Child/children aged 15 or older"
3464602,36,"Other person(s)"
3464606,41,"My husband, wife or partner"
3464607,37,"Other person(s)"
3464608,37,"My husband, wife or partner"
3464610,37,"My husband, wife or partner"
3464612,37,"Other family / relative(s)"
3464613,37,"Other family / relative(s)"
3464614,37,"My husband, wife or partner"
3464615,37,"My husband, wife or partner"
3464617,43,"My husband, wife or partner"
3464618,37,"My husband, wife or partner"
3464619,37,"My husband, wife or partner"
3464622,37,"Other family / relative(s)"
3464623,37,"Other person(s)"
3464625,37,"My husband, wife or partner"
3464627,37,"My husband, wife or partner"
3464630,37,"Other person(s)"
3464631,37,"My husband, wife or partner"
3464632,37,"My husband, wife or partner"
3464633,37,"Other person(s)"
3464636,37,"My husband, wife or partner"
3464637,37,"Other person(s)"
3464640,37,"Other person(s)"
3464641,37,"My husband, wife or partner"
3464643,37,"My husband, wife or partner"
3464644,37,"Other person(s)"
3464645,37,"My husband, wife or partner"
3464648,37,"Other person(s)"
3464650,46,"Other person(s)"
3464651,37,"Other person(s)"
3464652,37,"My husband, wife or partner"
3464653,37,"My husband, wife or partner"
3464654,37,"Other person(s)"
3464655,37,"My husband, wife or partner"
3464657,37,"Other person(s)"
3464658,37,"My husband, wife or partner"
3464661,41,"My husband, wife or partner"
3464662,37,"Other person(s)"
3464664,37,"My husband, wife or partner"
3464665,37,"My husband, wife or partner"
3464666,37,"My husband, wife or partner"
3464668,37,"My husband, wife or partner"
3464669,37,"My husband, wife or partner"
3464670,37,"Other person(s)"
3464671,37,"Other person(s)"
3464672,47,"My husband, wife or partner"
3464674,37,"My husband, wife or partner"
3464675,37,"My husband, wife or partner"
3464676,37,"My husband, wife or partner"
3464677,37,"My husband, wife or partner"
3464678,37,"My husband, wife or partner"
3464682,37,"Other person(s)"
3464683,39,"My husband, wife or partner"
3464684,46,"My husband, wife or partner"
3464688,37,"My husband, wife or partner"
3464689,37,"My husband, wife or partner"
3464692,37,"Other person(s)"
3464693,37,"My husband, wife or partner"
3464694,37,"Other family / relative(s)"
3464695,37,"My husband, wife or partner"
3464697,37,"Other person(s)"
3464698,37,"My husband, wife or partner"
3464702,37,"My husband, wife or partner"
3464704,37,"Other person(s)"
3464706,47,"My husband, wife or partner"
3464706,48,"Child/children aged 15 or older"
3464708,37,"Other person(s)"
3464709,37,"Other person(s)"
3464710,37,"Other family / relative(s)"
3464711,37,"My husband, wife or partner"
3464713,37,"My husband, wife or partner"
3464714,37,"My husband, wife or partner"
3464715,37,"My husband, wife or partner"
3464716,37,"Other person(s)"
3464717,37,"My husband, wife or partner"
3464718,37,"My husband, wife or partner"
3464719,37,"My husband, wife or partner"
3464720,37,"Other person(s)"
3464721,37,"My husband, wife or partner"
3464723,37,"My husband, wife or partner"
3464726,37,"My husband, wife or partner"
3464728,40,"My husband, wife or partner"
3464729,37,"Other person(s)"
3464735,37,"My husband, wife or partner"
3464736,37,"Other family / relative(s)"
3464737,37,"Other person(s)"
3464739,41,"My husband, wife or partner"
3464740,37,"My husband, wife or partner"
3464741,37,"Other family / relative(s)"
3464742,37,"My husband, wife or partner"
3464744,37,"My husband, wife or partner"
3464745,37,"My husband, wife or partner"
3464748,37,"Other person(s)"
3464749,37,"Other person(s)"
3464750,42,"My husband, wife or partner"
3464750,43,"Child/children aged 15 or older"
3464751,37,"My husband, wife or partner"
3464753,37,"Other person(s)"
3464755,37,"Other person(s)"
3464757,37,"Other person(s)"
3464758,36,"My husband, wife or partner"
3464760,36,"My husband, wife or partner"
3464761,37,"My husband, wife or partner"
3464764,36,"My husband, wife or partner"
3464765,36,"Other person(s)"
3464766,36,"My husband, wife or partner"
3464767,36,"My husband, wife or partner"
3464769,37,"My husband, wife or partner"
3464770,37,"Other family / relative(s)"
3464771,37,"Other person(s)"
3464772,44,"My husband, wife or partner"
3464772,45,"Child/children aged 15 or older"
3464773,37,"My husband, wife or partner"
3464774,37,"My husband, wife or partner"
3464777,37,"My husband, wife or partner"
3464780,36,"My husband, wife or partner"
3464783,53,"My husband, wife or partner"
3464784,37,"My husband, wife or partner"
3464784,38,"Child/children aged 15 or older"
3464786,37,"My husband, wife or partner"
3464787,37,"Child/children aged 15 or older"
3464788,37,"Other person(s)"
3464789,37,"Other person(s)"
3464791,37,"My husband, wife or partner"
3464793,37,"My husband, wife or partner"
3464794,41,"Other person(s)"
3464795,40,"Other family / relative(s)"
3464796,37,"My husband, wife or partner"
3464798,37,"My husband, wife or partner"
3464799,37,"My husband, wife or partner"
3464801,37,"Other person(s)"
3464802,37,"My husband, wife or partner"
3464803,37,"My husband, wife or partner"
3464804,37,"My husband, wife or partner"
3464808,37,"My husband, wife or partner"
3464809,37,"Other person(s)"
3464810,37,"Other person(s)"
3464811,37,"My husband, wife or partner"
3464812,37,"Other person(s)"
3464813,37,"My husband, wife or partner"
3464814,37,"My husband, wife or partner"
3464814,38,"Child/children aged under 15"
3464816,37,"My husband, wife or partner"
3464816,38,"Other family / relative(s)"
3464819,37,"My husband, wife or partner"
3464821,37,"My husband, wife or partner"
3464823,37,"My husband, wife or partner"
3464824,37,"My husband, wife or partner"
3464825,37,"My husband, wife or partner"
3464826,37,"My husband, wife or partner"
3464828,60,"My husband, wife or partner"
3464829,37,"My husband, wife or partner"
3464829,38,"Other person(s)"
3464830,37,"My husband, wife or partner"
3464831,37,"My husband, wife or partner"
3464832,37,"Other family / relative(s)"
3464833,37,"My husband, wife or partner"
3464833,38,"Child/children aged under 15"
3464837,37,"My husband, wife or partner"
3464838,37,"My husband, wife or partner"
3464841,37,"My husband, wife or partner"
3464841,38,"Other person(s)"
3464843,37,"My husband, wife or partner"
3464844,37,"Other family / relative(s)"
3464845,37,"Child/children aged 15 or older"
3464848,37,"Other person(s)"
3464850,58,"My husband, wife or partner"
3464852,37,"My husband, wife or partner"
3464854,37,"My husband, wife or partner"
3464855,37,"My husband, wife or partner"
3464857,37,"My husband, wife or partner"
3464858,37,"My husband, wife or partner"
3464859,37,"Other person(s)"
3464860,37,"My husband, wife or partner"
3464862,37,"My husband, wife or partner"
3464863,37,"My husband, wife or partner"
3464864,37,"My husband, wife or partner"
3464866,37,"My husband, wife or partner"
3464867,37,"My husband, wife or partner"
3464869,37,"My husband, wife or partner"
3464870,37,"My husband, wife or partner"
3464871,37,"My husband, wife or partner"
3464872,45,"My husband, wife or partner"
3464872,46,"Child/children aged under 15"
3464874,37,"My husband, wife or partner"
3464876,37,"Other person(s)"
3464878,37,"My husband, wife or partner"
3464880,37,"My husband, wife or partner"
3464880,38,"Other family / relative(s)"
3464881,37,"My husband, wife or partner"
3464881,38,"Other person(s)"
3464882,37,"Other person(s)"
3464883,39,"My husband, wife or partner"
3464883,40,"Child/children aged under 15"
3464883,41,"Other family / relative(s)"
3464884,37,"My husband, wife or partner"
3464885,37,"My husband, wife or partner"
3464886,37,"My husband, wife or partner"
3464890,37,"Child/children aged under 15"
3464891,37,"My husband, wife or partner"
3464892,37,"My husband, wife or partner"
3464893,37,"Other person(s)"
3464894,41,"My husband, wife or partner"
3464895,37,"My husband, wife or partner"
3464896,37,"Other person(s)"
3464897,37,"Other person(s)"
3464899,37,"My husband, wife or partner"
3464902,37,"My husband, wife or partner"
3464902,38,"Child/children aged 15 or older"
3464903,37,"My husband, wife or partner"
3464904,37,"Other person(s)"
3464905,39,"Other person(s)"
3464906,41,"Other family / relative(s)"
3464908,37,"Other person(s)"
3464909,37,"My husband, wife or partner"
3464910,36,"My husband, wife or partner"
3464911,36,"My husband, wife or partner"
3464912,36,"My husband, wife or partner"
3464913,36,"My husband, wife or partner"
3464913,37,"Other person(s)"
3464916,37,"My husband, wife or partner"
3464916,38,"Child/children aged 15 or older"
3464917,40,"My husband, wife or partner"
3464917,41,"Child/children aged under 15"
3464918,37,"My husband, wife or partner"
3464919,37,"Other person(s)"
3464920,37,"My husband, wife or partner"
3464921,37,"My husband, wife or partner"
3464921,38,"Other person(s)"
3464922,37,"My husband, wife or partner"
3464923,37,"My husband, wife or partner"
3464925,37,"Other person(s)"
3464926,37,"My husband, wife or partner"
3464927,37,"My husband, wife or partner"
3464929,37,"Other person(s)"
3464931,37,"My husband, wife or partner"
3464932,37,"My husband, wife or partner"
3464932,38,"Child/children aged under 15"
3464934,37,"My husband, wife or partner"
3464936,37,"My husband, wife or partner"
3464937,37,"My husband, wife or partner"
3464937,38,"Child/children aged 15 or older"
3464938,37,"Child/children aged under 15"
3464939,41,"My husband, wife or partner"
3464940,37,"My husband, wife or partner"
3464941,37,"My husband, wife or partner"
3464941,38,"Other family / relative(s)"
3464942,37,"Other person(s)"
3464943,37,"My husband, wife or partner"
3464943,38,"Other person(s)"
3464944,37,"My husband, wife or partner"
3464945,37,"My husband, wife or partner"
3464946,37,"My husband, wife or partner"
3464947,37,"Other person(s)"
3464949,37,"My husband, wife or partner"
3464950,37,"My husband, wife or partner"
3464950,38,"Child/children aged under 15"
3464950,39,"Child/children aged 15 or older"
3464951,37,"My husband, wife or partner"
3464952,37,"My husband, wife or partner"
3464953,37,"My husband, wife or partner"
3464953,38,"Other family / relative(s)"
3464954,37,"My husband, wife or partner"
3464954,38,"Other person(s)"
3464955,37,"My husband, wife or partner"
3464956,37,"Other person(s)"
3464958,37,"Other person(s)"
3464959,37,"Other person(s)"
3464960,37,"My husband, wife or partner"
3464961,38,"My husband, wife or partner"
3464961,39,"Child/children aged under 15"
3464961,40,"Child/children aged 15 or older"
3464962,37,"My husband, wife or partner"
3464963,37,"My husband, wife or partner"
3464965,37,"My husband, wife or partner"
3464966,37,"My husband, wife or partner"
3464967,37,"My husband, wife or partner"
3464968,37,"My husband, wife or partner"
3464969,37,"My husband, wife or partner"
3464969,38,"Other person(s)"
3464970,37,"My husband, wife or partner"
3464971,37,"My husband, wife or partner"
3464972,41,"My husband, wife or partner"
3464973,37,"My husband, wife or partner"
3464974,37,"My husband, wife or partner"
3464975,37,"My husband, wife or partner"
3464976,37,"Other person(s)"
3464977,37,"My husband, wife or partner"
3464977,38,"Child/children aged under 15"
3464978,37,"My husband, wife or partner"
3464979,37,"Other family / relative(s)"
3464981,37,"My husband, wife or partner"
3464982,37,"My husband, wife or partner"
3464983,45,"My husband, wife or partner"
3464983,46,"Child/children aged under 15"
3464984,37,"My husband, wife or partner"
3464985,37,"My husband, wife or partner"
3464985,38,"Other person(s)"
3464987,37,"Other family / relative(s)"
3464988,37,"My husband, wife or partner"
3464990,36,"My husband, wife or partner"
3464993,47,"My husband, wife or partner"
3464995,36,"My husband, wife or partner"
3464997,41,"My husband, wife or partner"
3464999,39,"Other family / relative(s)"
3465000,66,"My husband, wife or partner"
3465000,67,"Child/children aged under 15"
3465002,41,"Other family / relative(s)"
3465003,45,"My husband, wife or partner"
3465004,45,"My husband, wife or partner"
3465005,45,"My husband, wife or partner"
3465006,42,"My husband, wife or partner"
3465007,37,"My husband, wife or partner"
3465008,38,"Child/children aged under 15"
3465009,37,"My husband, wife or partner"
3465009,38,"Child/children aged under 15"
3465011,38,"Other family / relative(s)"
3465012,44,"Other family / relative(s)"
3465013,42,"My husband, wife or partner"
3465013,43,"Child/children aged under 15"
3465014,50,"Other person(s)"
3465015,37,"My husband, wife or partner"
3465016,44,"Other person(s)"
3465017,39,"My husband, wife or partner"
3465017,40,"Child/children aged 15 or older"
3465018,50,"Child/children aged 15 or older"
3465019,39,"Other family / relative(s)"
3465020,42,"My husband, wife or partner"
3465021,44,"My husband, wife or partner"
3465022,40,"My husband, wife or partner"
3465023,52,"My husband, wife or partner"
3465024,56,"My husband, wife or partner"
3465025,41,"Child/children aged under 15"
3465026,41,"My husband, wife or partner"
3465026,42,"Child/children aged under 15"
3465026,43,"Other family / relative(s)"
3465027,41,"Other family / relative(s)"
3465028,38,"Child/children aged 15 or older"
3465029,38,"My husband, wife or partner"
3465030,51,"My husband, wife or partner"
3465031,38,"Other family / relative(s)"
3465033,39,"My husband, wife or partner"
3465034,46,"My husband, wife or partner"
3465036,37,"My husband, wife or partner"
3465036,38,"Child/children aged under 15"
3465036,39,"Other family / relative(s)"
3465038,38,"My husband, wife or partner"
3465039,43,"Other person(s)"
3465040,37,"My husband, wife or partner"
3465043,40,"My husband, wife or partner"
3465043,41,"Child/children aged 15 or older"
3465044,37,"My husband, wife or partner"
3465044,38,"Child/children aged under 15"
3465046,45,"My husband, wife or partner"
3465047,42,"Other person(s)"
3465048,52,"Other person(s)"
3465050,39,"My husband, wife or partner"
3465051,41,"Child/children aged 15 or older"
3465053,39,"My husband, wife or partner"
3465053,40,"Child/children aged under 15"
3465055,39,"Other person(s)"
3465057,38,"My husband, wife or partner"
3465057,39,"Child/children aged 15 or older"
3465057,40,"Other family / relative(s)"
3465060,48,"My husband, wife or partner"
3465063,38,"My husband, wife or partner"
3465063,39,"Child/children aged under 15"
3465064,39,"My husband, wife or partner"
3465064,40,"Child/children aged under 15"
3465065,44,"My husband, wife or partner"
3465066,59,"Other family / relative(s)"
3465067,46,"My husband, wife or partner"
3465068,46,"My husband, wife or partner"
3465069,42,"My husband, wife or partner"
3465069,43,"Other family / relative(s)"
3465071,38,"Other person(s)"
3465073,46,"Other person(s)"
3465074,50,"My husband, wife or partner"
3465074,51,"Child/children aged 15 or older"
3465075,39,"Other family / relative(s)"
3465076,45,"My husband, wife or partner"
3465077,39,"My husband, wife or partner"
3465077,40,"Child/children aged under 15"
3465077,41,"Child/children aged 15 or older"
3465078,37,"Other family / relative(s)"
3465079,43,"My husband, wife or partner"
3465080,39,"Other family / relative(s)"
3465081,71,"My husband, wife or partner"
3465084,40,"Other family / relative(s)"
3465085,41,"Other person(s)"
3465086,40,"My husband, wife or partner"
3465088,45,"Child/children aged under 15"
3465089,37,"My husband, wife or partner"
3465091,42,"My husband, wife or partner"
3465091,43,"Child/children aged under 15"
3465093,46,"Child/children aged 15 or older"
3465095,42,"Other family / relative(s)"
3465097,37,"My husband, wife or partner"
3465097,38,"Other family / relative(s)"
3465098,38,"My husband, wife or partner"
3465102,48,"Other person(s)"
3465103,40,"Other family / relative(s)"
3465105,46,"My husband, wife or partner"
3465106,41,"Other family / relative(s)"
3465107,46,"My husband, wife or partner"
3465108,37,"My husband, wife or partner"
3465109,52,"My husband, wife or partner"
3465110,37,"Other person(s)"
3465111,37,"My husband, wife or partner"
3465112,42,"My husband, wife or partner"
3465115,50,"My husband, wife or partner"
3465116,38,"Other person(s)"
3465117,45,"My husband, wife or partner"
3465119,44,"My husband, wife or partner"
3465120,44,"My husband, wife or partner"
3465122,41,"Other person(s)"
3465123,41,"Child/children aged 15 or older"
3465124,38,"My husband, wife or partner"
3465124,39,"Child/children aged under 15"
3465124,40,"Child/children aged 15 or older"
3465124,41,"Other family / relative(s)"
3465125,42,"Child/children aged 15 or older"
3465126,44,"My husband, wife or partner"
3465126,45,"Child/children aged 15 or older"
3465127,38,"Child/children aged 15 or older"
3465128,47,"My husband, wife or partner"
3465131,40,"My husband, wife or partner"
3465131,41,"Child/children aged under 15"
3465133,36,"My husband, wife or partner"
3465134,47,"My husband, wife or partner"
3465135,48,"Other family / relative(s)"
3465136,39,"My husband, wife or partner"
3465137,44,"My husband, wife or partner"
3465138,38,"My husband, wife or partner"
3465138,39,"Child/children aged under 15"
3465140,39,"Other family / relative(s)"
3465141,42,"My husband, wife or partner"
3465142,44,"My husband, wife or partner"
3465143,47,"My husband, wife or partner"
3465144,38,"Other person(s)"
3465146,51,"Other person(s)"
3465148,57,"Other person(s)"
3465149,38,"My husband, wife or partner"
3465150,45,"Other person(s)"
3465152,39,"Other family / relative(s)"
3465154,39,"My husband, wife or partner"
3465155,40,"My husband, wife or partner"
3465156,41,"Other person(s)"
3465157,52,"My husband, wife or partner"
3465158,38,"Other family / relative(s)"
3465160,41,"My husband, wife or partner"
3465160,42,"Child/children aged under 15"
3465161,46,"Other family / relative(s)"
3465162,43,"Other family / relative(s)"
3465163,41,"My husband, wife or partner"
3465165,39,"Other family / relative(s)"
3465167,42,"My husband, wife or partner"
3465167,43,"Child/children aged under 15"
3465168,37,"My husband, wife or partner"
3465169,37,"My husband, wife or partner"
3465172,44,"Other person(s)"
3465175,42,"My husband, wife or partner"
3465175,43,"Child/children aged under 15"
3465176,40,"My husband, wife or partner"
3465179,38,"My husband, wife or partner"
3465182,39,"Child/children aged 15 or older"
3465182,40,"Other family / relative(s)"
3465184,51,"My husband, wife or partner"
3465185,54,"My husband, wife or partner"
3465186,39,"My husband, wife or partner"
3465188,46,"My husband, wife or partner"
3465190,50,"My husband, wife or partner"
3465191,38,"My husband, wife or partner"
3465192,38,"My husband, wife or partner"
3465193,49,"Other person(s)"
3465195,56,"My husband, wife or partner"
3465195,57,"Child/children aged 15 or older"
3465195,58,"Other person(s)"
3465199,43,"My husband, wife or partner"
3465200,41,"My husband, wife or partner"
3465201,50,"My husband, wife or partner"
3465203,47,"My husband, wife or partner"
3465204,37,"My husband, wife or partner"
3465205,37,"My husband, wife or partner"
3465205,38,"Other family / relative(s)"
3465206,48,"Other person(s)"
3465208,39,"My husband, wife or partner"
3465210,38,"Other family / relative(s)"
3465211,40,"My husband, wife or partner"
3465213,38,"Other person(s)"
3465215,47,"My husband, wife or partner"
3465216,37,"My husband, wife or partner"
3465218,43,"My husband, wife or partner"
3465219,39,"Other person(s)"
3465220,39,"My husband, wife or partner"
3465221,45,"Other person(s)"
3465222,38,"My husband, wife or partner"
3465223,38,"My husband, wife or partner"
3465223,39,"Other family / relative(s)"
3465224,47,"Other person(s)"
3465225,38,"My husband, wife or partner"
3465226,40,"Other family / relative(s)"
